source,target,flow
48245,48199,540
24003,24031,539
6053,6085,538
36005,36071,538
48061,48201,538
24033,24510,533
45043,45051,533
22055,22099,533
6075,53033,532
36047,6075,532
36081,36085,531
23005,23001,528
36085,36061,525
6059,48453,523
24510,24025,523
44009,44007,523
53033,6059,522
9003,25013,519
12061,12111,517
22103,22071,517
6081,6067,516
6075,6067,516
9001,9003,516
12031,48453,516
24025,24510,514
6059,6111,513
36081,12086,513
36083,36091,512
12083,12069,510
34035,34027,509
48061,48029,509
24015,10003,507
34031,34017,507
22045,22055,506
53061,53029,505
6001,6059,504
34025,34017,504
36027,36119,504
25025,25005,500
24510,24031,499
36005,48453,499
12086,12031,497
36087,36071,496
53015,53011,496
12071,12011,495
36081,34013,494
45051,45043,494
12081,12103,492
6073,17031,488
34003,34029,488
34023,36061,486
6001,6097,485
24510,24033,485
37129,37183,485
36005,34017,483
11001,17031,482
12086,12087,482
48201,17031,481
34013,36047,480
53033,48453,480
22097,22055,480
6075,36047,479
36085,36081,477
36047,17031,477
42017,34021,476
34001,34007,475
36081,9001,475
36081,34023,475
37141,37129,474
53057,53061,474
9003,9011,470
11001,6037,470
6085,32003,469
36047,12086,469
53029,53061,469
6085,4013,468
42101,34015,468
22051,22089,468
25009,33011,467
41051,41047,467
48201,4013,467
12011,12009,465
6037,36081,464
22055,22097,464
36047,9001,463
12111,12011,462
6073,6025,460
25021,25009,460
6037,48029,459
48201,48121,459
48201,48215,459
10003,10005,458
6001,6041,456
36061,53033,456
36005,34013,456
12071,12015,455
34003,36047,455
22089,22051,454
22113,22055,454
6073,6081,452
12057,12053,452
23031,33017,452
36061,34023,452
36085,34025,451
36111,36027,451
36081,12099,448
48201,6073,448
53073,53057,447
6037,4019,445
36061,12011,444
53033,6001,443
12031,12057,442
36081,48453,442
12011,12031,441
12011,36047,440
53033,32003,440
53033,53011,440
11001,36047,438
44007,25027,437
6073,6013,436
12103,12095,436
34023,34003,436
22071,48201,436
6001,53033,434
6037,49035,434
6097,6075,433
12069,12119,433
25005,25025,433
12053,12057,432
33017,23031,432
36061,36085,432
36061,48201,432
36005,36059,431
22055,22113,430
6013,6073,429
25025,6037,429
34009,34001,429
45041,45031,429
36061,6085,428
41051,6037,428
25017,25005,427
37147,37183,427
53011,53033,427
12011,6037,426
22001,22055,426
9001,36047,424
34029,34005,424
12071,12057,422
12099,12057,422
34007,34001,422
6095,6113,421
9007,9011,421
12086,36047,421
53067,53041,421
25005,25017,420
22103,22105,420
6041,6013,418
6037,8031,418
36071,36027,418
6079,6037,416
23005,23023,416
34039,34025,416
36081,12095,414
36085,34023,414
22071,22087,413
24017,24037,412
6001,48453,411
9003,9001,411
11001,6075,411
12057,12099,411
6037,12011,410
36047,34025,410
36119,36087,410
53073,53061,410
12031,12011,409
25021,25001,409
24025,24015,407
25021,44007,407
36061,34025,407
13051,13029,406
34005,34015,404
34005,34029,404
6001,32003,403
6037,25017,402
24033,51510,402
13029,13051,401
25017,6075,401
33015,33013,400
42101,6037,400
6037,13121,399
34015,42101,399
6073,37133,398
12087,12086,398
36061,34039,398
53035,6073,397
6073,51810,396
53033,36061,396
22055,22001,396
12015,12071,395
25017,36047,394
53053,4013,393
6041,6001,392
36059,36119,392
6085,48453,391
48201,22071,391
6073,48029,390
44007,25021,390
6085,6061,389
6075,6095,389
9011,9007,388
12115,12057,388
36027,36071,388
6037,6107,387
23023,23005,387
36005,12095,387
34003,36087,386
37133,6073,386
53033,53029,386
12011,36061,385
12083,12001,384
25001,25017,384
53033,17031,384
9009,36061,383
36047,36071,383
25017,17031,381
6059,6067,380
6059,48201,380
6037,6077,380
6097,6001,379
12086,36081,379
41051,41039,379
6037,53053,378
34023,36047,378
34035,34017,378
6073,48439,377
9011,9003,377
12086,12111,377
36071,36087,377
48201,48471,377
6073,4019,376
22105,22103,376
6037,11001,375
12086,17031,375
12099,36061,374
44007,44001,374
22071,22033,373
6037,41067,372
34039,36061,372
53057,53073,372
6037,6097,371
25009,25021,371
36079,36027,371
48355,48453,371
12069,12117,370
41051,41017,370
6073,48113,369
36087,36119,369
44001,44007,369
48201,12086,369
6075,6059,368
22051,48201,368
11001,24510,366
12083,12017,366
25025,6075,366
24015,24025,365
34011,48453,365
34015,34005,365
36047,36087,365
12086,12105,364
12057,12031,364
6111,6065,363
36087,36061,363
45015,36091,361
36071,36105,359
6111,32003,358
